Country,Date,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V
Germany,2021-11-22,94423108,10037009,12778387,3506724,0
Germany,2021-11-23,95228266,10077402,12778625,3518942,0
Germany,2021-11-24,96179138,10132397,12778850,3532743,0
Germany,2021-11-25,97069901,10191337,12779327,3547097,0
Germany,2021-11-26,97829962,10259851,12779512,3558885,0
Germany,2021-11-27,98432323,10349258,12779596,3572007,0
Germany,2021-11-28,98559076,10391344,12779608,3575415,0
Germany,2021-11-29,99027622,10504392,12779799,3584260,0
Germany,2021-11-30,99777011,10794168,12780105,3594212,0
Germany,2021-12-01,100611673,11226523,12780346,3603038,0
Germany,2021-12-02,101372642,11645594,12780721,3612350,0
Germany,2021-12-03,102040529,12048321,12780823,3619563,0
Germany,2021-12-04,102539639,12559734,12781150,3627617,0
Germany,2021-12-05,102651153,12720158,12781158,3629241,0
Germany,2021-12-06,103049225,13067938,12781441,3635715,0
Germany,2021-12-07,103697383,13617168,12781588,3642360,0
Germany,2021-12-08,104431256,14302490,12781768,3648391,0
Germany,2021-12-09,105118827,14932489,12781976,3654373,0
Germany,2021-12-10,105735169,15534787,12782185,3659671,0
Germany,2021-12-11,106228809,16255199,12782228,3663986,0
Germany,2021-12-12,106343863,16456889,12782239,3665149,0
Germany,2021-12-13,106741066,16863642,12782335,3668914,0
Germany,2021-12-14,107484953,17467128,12782517,3673092,0
Germany,2021-12-15,108349080,18161346,12782644,3676662,0
Germany,2021-12-16,109171960,18797744,12783001,3680243,0
Germany,2021-12-17,109886377,19359530,12783128,3683312,0
Germany,2021-12-18,110443843,19937829,12783369,3685403,0
Germany,2021-12-19,110610038,20120199,12783639,3686025,0
Germany,2021-12-20,111098384,20524047,12783714,3688109,0
Germany,2021-12-21,111809418,21052203,12783938,3690286,0
Germany,2021-12-22,112502151,21576621,12784145,3692047,0
Germany,2021-12-23,112872166,21876520,12784270,3693297,0
Germany,2021-12-24,112896590,21900785,12784282,3693413,0
Germany,2021-12-25,112910574,21914580,12784388,3693506,0
Germany,2021-12-26,112942024,21945586,12784389,3693585,0
Germany,2021-12-27,113246239,22246242,12784548,3694505,0
Germany,2021-12-28,113633894,22605936,12784691,3695512,0
Germany,2021-12-29,113999521,22939459,12785023,3696402,0
Germany,2021-12-30,114244546,23179810,12785057,3697451,0
Germany,2021-12-31,114271377,23212295,12785120,3697566,0
Germany,2022-01-01,114284569,23227705,12785175,3697597,0
Germany,2022-01-02,114366616,23299608,12785181,3697740,0
Germany,2022-01-03,114617970,23529494,12785215,3698443,0
Germany,2022-01-04,115005610,23841917,12785859,3699556,0
Germany,2022-01-05,115464727,24199171,12786097,3700472,0
Germany,2022-01-06,115855533,24491416,12786672,3701311,0
Germany,2022-01-07,116302368,24809619,12786773,3703224,0
Germany,2022-01-08,116602430,25028584,12786882,3704090,0
Germany,2022-01-09,116717454,25098154,12787178,3704337,0
Germany,2022-01-10,117035080,25339574,12787189,3705375,0
Germany,2022-01-11,117498872,25670632,12787638,3707136,0
Germany,2022-01-12,118021323,26028246,12787730,3708710,0
Germany,2022-01-13,118523490,26361943,12787970,3710481,0
Germany,2022-01-14,118998427,26664477,12788604,3712660,0
Germany,2022-01-15,119289398,26839889,12788831,3713284,0
Germany,2022-01-16,119387622,26895757,12788904,3713650,0
Germany,2022-01-17,119684877,27078799,12788964,3714628,0
Germany,2022-01-18,120100655,27314206,12789351,3715846,0
Germany,2022-01-19,120540956,27552570,12790628,3717332,0
Germany,2022-01-20,120996479,27797875,12790699,3718271,0
Germany,2022-01-21,121393151,27998551,12790747,3719283,0
Germany,2022-01-22,121592003,28095502,12790822,3719922,0
Germany,2022-01-23,121666792,28128396,12790824,3720003,0
Germany,2022-01-24,121902462,28249479,12790827,3720514,0
Germany,2022-01-25,122246627,28404387,12791230,3721814,0
Germany,2022-01-26,122601470,28552806,12791265,3722663,0
Germany,2022-01-27,122964347,28697379,12791328,3725500,0
Germany,2022-01-28,123283981,28815281,12791355,3726221,0
Germany,2022-01-29,123440108,28870740,12791512,3726464,0
Germany,2022-01-30,123496201,28890112,12791534,3726567,0
Germany,2022-01-31,123667567,28951081,12791597,3727158,0
Germany,2022-02-01,123891546,29019888,12791621,3727533,0
Germany,2022-02-02,124171470,29100461,12792030,3728390,0
Germany,2022-02-03,124442656,29170974,12792035,3728940,0
Germany,2022-02-04,124688887,29236845,12792263,3729408,0
Germany,2022-02-05,124807284,29266070,12792270,3729623,0
Germany,2022-02-06,124850509,29275791,12792289,3729718,0
Germany,2022-02-07,124982523,29311262,12792302,3730009,0
Germany,2022-02-08,125203702,29366005,12792700,3730646,0
Germany,2022-02-09,125431624,29420695,12792717,3731089,0
Germany,2022-02-10,125657293,29471745,12792723,3731752,0
Germany,2022-02-11,125861832,29517709,12792741,3732278,0
Germany,2022-02-12,125952497,29537390,12792756,3732474,0
Germany,2022-02-13,125980457,29543882,12792762,3732556,0
Germany,2022-02-14,126089170,29569009,12792791,3732816,0
Germany,2022-02-15,126270980,29610480,12793190,3733202,0
Germany,2022-02-16,126457837,29648092,12793209,3733589,0
Germany,2022-02-17,126648476,29685703,12793227,3733936,0
Germany,2022-02-18,126825590,29719092,12793307,3734276,0
Germany,2022-02-19,126894050,29731711,12793309,3734401,0
Germany,2022-02-20,126918989,29737720,12793319,3734445,0
Germany,2022-02-21,127028262,29760760,12793359,3734648,0
Germany,2022-02-22,127199663,29792198,12793812,3735196,0
Germany,2022-02-23,127373493,29825358,12794237,3735548,0
Germany,2022-02-24,127550559,29858656,12794319,3735863,0
Germany,2022-02-25,127698375,29886308,12794548,3736275,0
Germany,2022-02-26,127749780,29896235,12794561,3736356,0
Germany,2022-02-27,127765002,29899137,12794570,3736379,0
Germany,2022-02-28,127845486,29918235,12794572,3736570,0
Germany,2022-03-01,127978334,29943896,12794610,3736847,0
