AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,TIME_PERIOD,OBS_VALUE,UNIT_MULT,Unit multiplier
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2021,154.831,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2022,42.457,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2020,692.395,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2021,336.703,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2021,6636.077,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2020,2362.516,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2022,578.432,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2022,633.305,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2021,1104.053,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2020,1226.096,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2022,134.415,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2021,162.309,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2020,0.207,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2020,763.281,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2021,1907.234,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2020,4245.819,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2022,127.166,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2020,59.789,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2021,174.45,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2022,355.928,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2020,1956.479,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2021,1463.371,6,Millions
