REF_AREA,Reference area,Health function,Price base,TIME_PERIOD,OBS_VALUE
EST,Estonia,COVID-19 related costs for medical goods,Current prices,2021,4.42955409720914
EST,Estonia,COVID-19 related investment costs,Current prices,2021,1.8676396795633732
EST,Estonia,COVID-19 related costs for vaccination,Current prices,2021,4.346062612740295
EST,Estonia,COVID-19 related treatment costs,Current prices,2021,4.643207506901208
FRA,France,COVID-19 related costs for medical goods,Current prices,2021,6.9733501170205185
FRA,France,COVID-19 related treatment costs,Current prices,2021,8.555836045333333
FRA,France,COVID-19 related costs for vaccination,Current prices,2021,7.883157205666657
GBR,United Kingdom,COVID-19 related costs for vaccination,Current prices,2021,9.122759414624634
GBR,United Kingdom,COVID-19 related costs for medical goods,Current prices,2021,6.2514105052129585
GRC,Greece,COVID-19 related costs for vaccination,Current prices,2021,6.409421308627404
HRV,Croatia,COVID-19 related costs for vaccination,Current prices,2021,5.276644190866542
HRV,Croatia,COVID-19 related costs for medical goods,Current prices,2021,2.245485500953473
HRV,Croatia,COVID-19 related treatment costs,Current prices,2021,6.1137573982421936
HUN,Hungary,COVID-19 related costs for vaccination,Current prices,2021,7.029890607434527
IRL,Ireland,COVID-19 related costs for vaccination,Current prices,2021,6.301097672629759
ISL,Iceland,COVID-19 related costs for vaccination,Current prices,2021,2.778322254087542
ISL,Iceland,COVID-19 related investment costs,Current prices,2021,1.33500106673234
ISL,Iceland,COVID-19 related treatment costs,Current prices,2021,3.8738641283273747
ISR,Israel,COVID-19 related costs for vaccination,Current prices,2021,6.835619975222689
ISR,Israel,COVID-19 related investment costs,Current prices,2021,5.822166810976581
ISR,Israel,COVID-19 related costs for medical goods,Current prices,2021,4.173371369428072
ISR,Israel,COVID-19 related treatment costs,Current prices,2021,6.669989086050787
KOR,Korea,COVID-19 related investment costs,Current prices,2021,4.42409185606725
KOR,Korea,COVID-19 related treatment costs,Current prices,2021,7.5817522593690345
KOR,Korea,COVID-19 related costs for vaccination,Current prices,2021,8.865905638649702
KOR,Korea,COVID-19 related costs for medical goods,Current prices,2021,6.395568729576805
LTU,Lithuania,COVID-19 related costs for medical goods,Current prices,2021,3.2327392815273543
LTU,Lithuania,COVID-19 related costs for vaccination,Current prices,2021,4.515956385443261
LUX,Luxembourg,COVID-19 related costs for vaccination,Current prices,2021,4.33465983204463
LUX,Luxembourg,COVID-19 related costs for medical goods,Current prices,2021,3.5285346301233504
LUX,Luxembourg,COVID-19 related investment costs,Current prices,2021,3.0167106799391825
LUX,Luxembourg,COVID-19 related treatment costs,Current prices,2021,4.494919957367191
LVA,Latvia,COVID-19 related costs for vaccination,Current prices,2021,4.998913528511962
LVA,Latvia,COVID-19 related treatment costs,Current prices,2021,6.368710205641248
LVA,Latvia,COVID-19 related costs for medical goods,Current prices,2021,3.126892106252013
NLD,Netherlands,COVID-19 related treatment costs,Current prices,2021,7.770785730588201
NLD,Netherlands,COVID-19 related costs for medical goods,Current prices,2021,6.772122250896677
NLD,Netherlands,COVID-19 related costs for vaccination,Current prices,2021,7.727840790622758
NOR,Norway,COVID-19 related costs for vaccination,Current prices,2021,5.444899476875343
ROU,Romania,COVID-19 related costs for vaccination,Current prices,2021,6.79653987911365
SWE,Sweden,COVID-19 related costs for vaccination,Current prices,2021,5.7305152810578734
AUT,Austria,COVID-19 related costs for medical goods,Constant prices,2022,4.7318204579115815
AUT,Austria,COVID-19 related treatment costs,Constant prices,2022,4.305577462510476
AUT,Austria,COVID-19 related costs for vaccination,Constant prices,2022,5.72517860289693
BEL,Belgium,COVID-19 related costs for vaccination,Constant prices,2022,5.004268401718052
BEL,Belgium,COVID-19 related costs for medical goods,Constant prices,2022,6.696655163477473
BEL,Belgium,COVID-19 related treatment costs,Constant prices,2022,6.1859122836997775
BGR,Bulgaria,COVID-19 related treatment costs,Constant prices,2022,6.293130882365878
BGR,Bulgaria,COVID-19 related costs for vaccination,Constant prices,2022,3.7717719434534964
BGR,Bulgaria,COVID-19 related investment costs,Constant prices,2022,2.030645127490873
BGR,Bulgaria,COVID-19 related costs for medical goods,Constant prices,2022,3.2301322331239
CAN,Canada,COVID-19 related treatment costs,Constant prices,2022,7.445117862265086
CAN,Canada,COVID-19 related costs for vaccination,Constant prices,2022,7.344916063165894
CAN,Canada,COVID-19 related costs for medical goods,Constant prices,2022,7.4691483437678485
CHL,Chile,COVID-19 related investment costs,Constant prices,2022,0.7537718023763802
CHL,Chile,COVID-19 related costs for medical goods,Constant prices,2022,6.671061587769951
COL,Colombia,COVID-19 related costs for vaccination,Constant prices,2022,6.499406517138143
COL,Colombia,COVID-19 related treatment costs,Constant prices,2022,5.9958797855813915
